Commodity Code,Commodity description
65949,"-- other than knotted, tufted, woven or of felt"
6595,"Carpets, rugs, mats, of man-made textile materials, nes"
65951,-- tufted
65952,-- woven
65959,"-- other than knotted, tufted, woven or of felt"
6596,"Carpets, rugs, mats, of other textile materials, nes"
65961,-- tufted
65962,"-- other than knotted, tufted, or of felt"
65963,"Floor coverings of felt, of tufted felt or of needleloom felt"
6597,"Plaits, plaited products for all uses; straw envelopes for bottles"
66,"Non-metallic mineral manufactures, nes"
661,"Lime, cement, and fabricated construction materials"
6611,"Lime, quick, slaked and hydraulic (no calcium oxide or hydroxide)"
6612,Cement
6613,"Building and monumental stone, worked, and articles thereof"
66131,"Road and paving setts, curb and flagstones, of natural stone"
66132,"Building and monumental stone, worked, and articles thereof"
66133,"Slate, worked, articles of slate"
6618,"Construction materials, of asbestos-cement or fibre-cements, etc"
66181,Articles of asphalt or of similar material
66182,"Panel, blocks, etc of mixed vegetable-mineral substances"
66183,"Articles of asbestos-cement, of cellulose fibre-cement or the like"
662,Clay and refractory construction materials
6623,Refractory bricks and other refractory construction materials
66231,"Heat-insulated bricks, blocks, etc, of siliceous earth"
66232,"Refractory bricks, blocks, tiles, etc, other than heading 66231"
66233,"Refractory cement, mortars and similar composition"
6624,"Non-refractory ceramic bricks, tiles, pipes and similar products"
66241,Building bricks
66242,"Roofing tiles, chimney-pots, etc, and ceramic constructional goods"
66243,"Ceramic piping, conduits and guttering"
66244,"Unglazed ceramic setts, flags and paving, hearth and wall tiles"
66245,"Glazed ceramic setts, flags and paving, hearth and wall tiles"
663,"Mineral manufactures, nes"
6631,"Hand polishing stone, grindstones, grinding wheels, etc"
6632,"Abrasive power or grain, on a base of woven fabrics"
6633,"Manufactures of mineral materials, nes (other than ceramic)"
66331,Articles of plastering material
66332,"Articles of cement, concrete or artificial stone, reinforce or not"
66333,"Mica, worked, and articles of mica"
66339,"Articles of stone or of other mineral substances, nes"
6635,"Wool; expanding or insulating mineral materials, nes"
6637,"Refractory goods, nes"
6638,Manufactures of asbestos; friction materials
66381,Fabricated asbestos and articles thereof
66382,Friction materials
6639,"Articles of ceramic materials, nes"
66391,"Laboratory, chemical or industrial ware, ceramic, non-refractory"
66392,"Other articles of ceramic materials, nes"
664,Glass
6641,"Glass in the mass, in balls, rods or tubes (nonoptical); waste"
66414,Glass in the mass (nonoptical); waste glass (cullet)
66415,"Glass in balls, rods and tubes, unworked (nonoptical)"
6642,Optical glass and elements of optical glass (unworked)
6643,"Drawn or blown glass (flashed glass), unworked, in rectangles"
6644,"Glass, cast, rolled, etc, surface-ground, but no further worked"
6645,"Cast, rolled glass (flashed or wired), unworked, in rectangles"
6646,"Bricks, tiles, etc of pressed or moulded glass, used in building"
6647,"Safety glass consisting of toughened or laminated glass, cut or not"
6648,"Glass mirror, unframed, framed or backed"
6649,"Glass, nes"
66491,"Glass cut to shape, or bent or otherwise worked"
66492,"Glass envelopes (bulbs, tubes) lamps, electronic valves, etc"
66493,Clock and watch glasses etc
66494,"Glass fibre (including wool) and articles made therefrom, nes"
665,Glassware
6651,Bottles etc of glass
66511,"Jars, pots, etc, of glass, for conveyance of goods; stoppers etc"
66512,Glass inners for vacuum flasks or for other vacuum vessels
6652,"Glassware (other than heading 66582), for indoor decoration"
6658,"Articles made of glass, nes"
66581,"Laboratory, hygienic and pharmaceutical glassware; glass ampoules"
66582,Glass ornaments nes
66589,"Other articles of glass, nes"
666,Pottery
6664,Porcelain or china house ware
6665,"Articles of domestic or toilet purposes, of other kind of pottery"
6666,"Ornaments, personal articles of porcelain, china, or ceramic, nes"
667,"Pearl, precious and semi-precious stones, unworked or worked"
6671,"Pearls, not mounted, set or strung"
6672,"Diamonds (non-industrial), not mounted or set"
66721,"Diamonds, rough, unsorted"
66722,"Diamonds, sorted, rough or simply sawn, cleaved or bruted"
66729,"Diamonds cut or otherwise worked, but not mounted or set"
6673,"Precious and semi-precious stones, not mounted, set or strung"
6674,Synthetic or reconstructed precious or semi-precious stones
67,Iron and steel
671,"Pig and sponge iron, spiegeleisen, etc, and ferro-alloys"
6712,"Pig iron, cast iron, spiegeleisen, in pigs, blocks, lumps, etc"
6713,"Iron and steel powders, shot or sponge"
67131,"Iron or steel shot and angular grit, graded or not; wire pellets"
67132,Iron or steel powders
67133,"Sponge iron or steel, not in powder form"
6716,Ferro-alloys
67161,Ferro-manganese
67162,Ferro-silicon
67169,Other ferro-alloys
672,"Ingots and other primary forms, of iron or steel"
6724,"Puddled bars, pilings; ingots, blocks, lumps, etc, of iron or steel"
67241,"Ingots of iron or steel, other than of high carbon or alloy steel"
67242,Ingots of high carbon steel
67243,Ingots of stainless or heat-resistant steel
67244,Ingots of other alloy steel
67245,"Puddled bars, piling; blocks, lumps, etc, of iron or steel"
6725,"Blooms, billets, slabs and sheet bars, of iron or steel"
67251,-- of other than high carbon or alloy steel
67252,-- of high carbon steel
67254,-- of stainless or heat-resistant steel
67255,-- of other alloy steel
6727,Iron or steel coils for re-rolling
67271,-- of other than high carbon or alloy steel
67272,-- of high carbon steel
67274,-- of stainless or heat resisting steel
67275,-- other alloy steel
673,"Iron and steel bars, rods, shapes and sections"
6731,Wire rod of iron or steel
67311,-- of other than high carbon or alloy steel
67312,-- of high carbon steel
67314,-- of stainless or heat-resistant steel
67315,-- of other alloy steel
6732,"Bars, rods (not wire rod), from iron or steel; hollow mining drill"
67322,-- of high carbon steel
67324,-- of stainless or heat-resistant steel
67325,-- of other alloy steel
67326,"Bars, rods, hot rolled or extruded (not high carbon or alloy steel)"
67327,"Bars, rods, forget, cold formed (not high carbon, alloy steel), etc"
6733,"Angles, shapes, sections and sheet piling, of iron or steel"
67331,"U, I, H sections, hot-rolled (not high carbon, alloy), of less 80mm"
67332,"U, I, H sections, hot-rolled (not high carbon, alloy), of 80mm plus"
67333,"Other profiles hot-rolled of iron or steel (not high carbon, alloy)"
67334,"Other profiles cold-formed of iron or steel (not high carbon, alloy)"
67335,"Other angles, shapes, etc, of iron or steel (not high carbon, alloy)"
67336,Sheet piling of iron or steel (not of high carbon or alloy steel)
67337,"Angles, shapes and sections, of high carbon steel"
67338,"Angles, shapes and sections, of stainless or heat-resistant steel"
67339,"Angles, shapes and sections, of other alloy steel"
674,"Universals, plates, and sheets, of iron or steel"
6741,Universal plates of iron or steel
67414,-- of other than high carbon or alloy steel
67415,-- of high carbon or alloy steel
6744,"Sheet, plates, rolled of thickness 4,75mm plus, of iron or steel"
67441,-- of other than high carbon or alloy steel
67442,-- of high carbon steel
67443,-- of stainless or heat-resistant steel
67444,-- of other alloy steel
6745,"Sheet, plates, rolled of thickness 3mm to 4,75mm, of iron or steel"
67451,-- of other than high carbon or alloy steel
67452,-- of high carbon steel
67453,-- of stainless or heat-resistant steel
67454,-- of other alloy steel
6746,"Sheet, plates, rolled of thickness less 3mm, of iron or steel"
67461,-- of other than high carbon or alloy steel
67462,-- of high carbon steel
67463,-- of stainless or heat-resistant steel
67464,-- of other alloy steel
6747,"Tinned sheets, plates of steel (not of high carbon or alloy steel)"
6749,"Other sheet and plates, of iron or steel, worked"
67491,-- of other than high carbon or alloy steel (excluding tinned)
67492,-- of high carbon steel
67493,-- of stainless or heat-resistant steel
67494,-- of other alloy steel
675,"Hoop and strip of iron or steel, hot-rolled or cold-rolled"
6750,"Hoop and strip of iron or steel, hot-rolled or cold-rolled"
67501,-- of other than high carbon or alloy steel
67502,-- of high carbon steel
67504,-- of stainless or heat-resistant steel
67505,-- of other alloy steel
676,"Rails and railway track construction materials, of iron or steel"
6760,"Rails and railway track construction materials, of iron or steel"
67601,Rails (other than check and rack rails) of iron or steel
67602,"Other railway, tramway track construction material of iron or steel"
677,"Iron or steel wire (excluding wire rod), not insulated"
6770,"Iron or steel wire (excluding wire rod), not insulated"
67701,-- of other than high carbon or alloy steel
67702,-- of high carbon steel
67704,-- of stainless or heat-resistant steel
67705,-- of other alloy steel
678,"Tube, pipes and fittings, of iron or steel"
6781,"Tubes and pipes, of cast iron"
6782,"Seamless tubes, pipes; blanks for tubes and pipes, of iron or steel"
6783,"Other tubes and pipes, of iron or steel"
6784,High-pressure hydro-electric conduit of steel
6785,"Tube and pipes fittings, of iron or steel"
679,"Iron, steel casting, forging and stamping, in the rough state, nes"
6793,"Steel and iron forging and stampings, in the rough state"
6794,"Castings of iron or steel, in rough state"
67941,Iron castings rough
67942,Steel castings rough
68,Non-ferrous metals
681,"Silver, platinum and other metals of the platinum group"
6811,"Silver, unwrought, unworked, or semi-manufactured"
68112,Rolled silver
68113,"Silver unwrought (including silver guilt, platinum-plated silver)"
68114,Silver semi-manufactured
6812,"Metals of platinum group, unwrought, unworked, or semi-manufactured"
68122,"Rolled platinum, unworked, or semi-manufactured"
68123,"Platinum and platinum alloys, unwrought"
68124,"Other metals of the platinum group and alloys thereof, unwrought"
68125,"Platinum, metals of the platinum group, alloys, semi-manufactured"
682,Copper
6821,"Copper and copper alloys, refined or not, unwrought"
68211,Unrefined copper (blister copper but excluding cement copper)
68212,"Refined copper, (including alloys except master alloys), unwrought"
68213,Master alloy of copper
6822,"Copper and copper alloys, worked"
68221,"Copper bars, rods, angles, shapes, sections, wrought; copper wire"
68222,"Copper plates, sheets and strips, wrought"
68223,Copper foil not exceeding 0.15 mm
68224,Copper powders and flakes
68225,"Copper tubes, pipes, and blanks thereof; hollow bars of cooper"
68226,Copper tubes and pipes fittings
683,Nickel
6831,"Nickel and nickel alloys, unwrought"
6832,"Nickel and nickel alloys, worked"
68321,"Nickel bars, rods, angles, shapes, sections, wrought; nickel wire"
68322,"Nickel sheet, plates, strip, wrought; nickel foil, powders, flakes"
68323,"Nickel tube, pipe, blanks; hollow bars; tube and pipe fittings"
68324,"Electro-plating anodes, of nickel"
684,Aluminium
6841,"Aluminium and aluminium alloys, unwrought"
6842,"Aluminium and aluminium alloys, worked"
68421,"Aluminium bars, rods, angles, shapes, etc, wrought; aluminium wire"
68422,"Aluminium plates, sheets and strips, wrought"
68423,"Aluminium foil, of a thickness not exceeding 0.20 mm"
68424,Aluminium powders and flakes
68425,"Aluminium tubes, pipes and blanks; hollow bars of aluminium"
68426,Aluminium tubes and pipes fittings
685,Lead
6851,"Lead, and lead alloys, unwrought"
68511,Unrefined lead
68512,"Refine lead (excluding lead alloys), unwrought"
68513,"Lead alloys, unwrought"
6852,"Lead and lead alloys, worked"
68521,"Lead bars, rods, angles, shapes and section, wrought; lead wire"
68522,"Lead plate, sheets and strip, wrought"
68523,"Lead foil, of a weight of 1,700 g/m2 or less; lead powder, flakes"
68524,"Lead tubes, pipes, blanks; hollow bars, tube and pipes fittings"
686,Zinc
6861,"Zinc and zinc alloys, unwrought"
6863,Zinc and zinc alloys worked
68631,"Zinc bars, rods, angles, shapes and section, wrought; zinc wire"
68632,"Zinc plates, sheets and strip, wrought; zinc foil"
68633,"Zinc powders, dust (blue powder) and flakes"
68634,"Zinc tubes, pipes, blanks; hollow bars, tube and pipes fittings"
687,Tin
6871,"Tin and tin alloys, unwrought"
6872,Tin and tin alloys worked
68721,"Tin bars, rods, angles, shapes and section, wrought; tin wire"
68722,"Tin plates, sheets and strip, wrought"
68723,"Tin foil, of a weight of 1 kg/m2 or less; tin powder and flakes"
68724,"Tin tubes, pipes, blanks; hollow bars, tube and pipes fittings"
688,"Uranium depleted in U235, thorium, and alloys, nes; waste and scrap"
6880,"Uranium depleted in U235, thorium, and alloys, nes; waste and scrap"
689,"Miscellaneous non-ferrous base metals, employed in metallurgy"
6891,"Tungsten, molybdenum, tantalum, magnesium, unwrought; waste, scrap"
68911,"Tungsten (wolfram), unwrought; waste and scrap"
68912,"Molybdenum, unwrought; waste and scrap"
68913,"Tantalum, unwrought; waste and scrap"
68914,Magnesium waste and scrap
68915,"Magnesium, unwrought"
6899,"Base metals, nes and cermets, unwrought (including waste and scrap)"
68991,"Beryllium, unwrought; waste and scrap"
68999,"Other base metals, nes, and cermets, unwrought; waste and scrap"
69,"Manufactures of metals, nes"
691,"Structures and parts, nes, of iron, steel or aluminium"
6911,"Structures and parts of, of iron, steel; plates, rods, and the like"
6912,"Structures and parts of, of aluminium; plates, rods, and the like"
692,Metal containers for storage and transport
6921,"Iron, steel, aluminium reservoirs, tanks, etc, capacity 300 lt plus"
69211,-- of iron or steel
69213,-- of aluminium
6924,"Cask, drums, etc, of iron, steel, aluminium, for packing goods"
69241,"Cask, drums, boxes, etc, of iron, steel, for packing goods"
69242,"Cask, drums, boxes, etc, of aluminium, for packing goods"
69243,"Containers, of iron or steel, for compress or liquefied gas"
69244,"Containers, of aluminium, for compress or liquefied gas"
693,Wire products (excluding insulated electrical wire); fencing grills
6931,"Wire, cables, cordage, ropes, plaited bans, sling and the like"
69311,-- of iron or steel
69312,-- of copper
69313,-- of aluminium
6932,Barbed iron or steel wire: fencing wire
6935,"Gauze, cloth, grill, netting, reinforced fabric and the like"
69351,-- of iron
69352,-- of copper
694,"Nails, screws, nuts, bolts, rivets, etc, of iron, steel or copper"
6940,"Nails, screws, nuts, bolts, rivets, etc, of iron, steel or copper"
69401,"Iron or steel nails, tacks, hook-nails, spike cramps, studs, etc"
69402,"Iron or steel nuts, bolts, rivets, cotters, washers, etc"
69403,"Copper nails, bolts, spikes, rivets, cotters, washers, etc"
695,Tools for use in the hand or in machines
6951,"Hand tools, used in agriculture, horticulture or forestry"
6953,Other hand tools
69531,Saws and blades for hand or machine saws
69532,Wrenches and spanners
69533,Files and rasps
69534,"Other hand tools, pliers, pincers, snips, bolt croppers, etc"
69539,"Hand tools, nes; portable forges; grinding wheels with frameworks"
6954,"Interchangeable tools for hand or machine tools (tips, blades, etc)"
69541,"Interchangeable tools for hand, machine, power-operated hand tools"
69542,Knives or cutting blades for machines or mechanical appliances
69543,Carbide tool tips etc
696,Cutlery
6960,Cutlery
69603,Razors and razor blades
69604,Scissors and blades therefor
69605,"Other articles of cutlery (secateurs, clippers, cleavers, etc)"
69606,"Spoons, forks, ladles, etc, and similar kitchen or tableware"
69607,Cutlery handles of base metal
69608,"Knives with cutting blades, other of heading 69542"
697,"Household equipment of base metal, nes"
6973,"Domestic, non-electric, heating, cooking apparatus, and parts, nes"
69731,"Cooking apparatus, plate warmers, non-electrical, of iron, steel"
69732,"Domestic heating apparatus, non-electrical, of iron or steel"
69733,"Parts, nes of iron or steel, of apparatus of heading 6973"
69734,"Domestic heating apparatus, non-electrical, and parts, of copper"
69735,"Domestic, non-electrical water heaters, and parts thereof, nes"
6974,"Base metal domestic articles, nes, and parts thereof, nes"
69741,-- of iron or steel
69742,-- of copper
69743,-- of aluminium
6975,"Base metal indoors sanitary ware, and parts thereof, nes"
69751,-- iron or steel
69752,-- copper
69753,-- aluminium
6978,"Household appliances, decorative article, etc, of base metal, nes"
69781,"Domestic food appliances, non-electrical"
69782,Base metal ornaments for indoors used; mirrors of base metal
699,"Manufactures of base metal, nes"
6991,"Locksmiths wares, safes, etc, and hardware, nes, of base metal"
69911,"Locks and padlocks, and parts thereof, of base metal"
69912,Base metal safes etc
69913,"Base metal fitting and mountings, hat-racks, brackets and the like"
6992,"Chain and parts thereof, of iron or steel"
6993,"Pins, needles, etc, of iron, steel; metal fittings for clothing"
69931,"Hand needles, bodkins, crochet hooks, etc, of iron or steel"
69932,"Pins, hairpins and curling grips, of iron or steel (not ornamental)"
69933,"Base metal hooks, eyes, etc, used for clothing or travel goods"
6994,"Springs and leaves for springs, of iron, steel or copper"
69941,"Springs and leaves for springs, of iron or steel"
69942,Springs of copper
6996,Miscellaneous articles of base metal
69961,"Flexible tubing and piping, of base metal"
69962,"Bells, gongs, non-electric, of base metal, and parts of base metal"
69963,"Stoppers, caps, etc, and other packing accessories, of base metal"
69964,"Sign-plates, numbers, letters and other signs, of base metal"
69965,"Rods, electrodes, wire, and the like, for soldering, of base metal"
6997,"Articles of iron or steel, nes"
69971,"Anchors and grapnels and parts thereof, of iron or steel"
69979,"Other articles of iron or steel, nes"
6998,"Articles, nes, of copper, nickel, aluminium, lead, zinc and tin"
69981,-- of copper
69982,-- of nickel
69983,-- of aluminium
69984,-- of lead
69985,-- of zinc
69986,-- of tin
6999,"Other base metal manufactures, nes; and of cermets"
69991,"Tungsten, wrought, and articles of tungsten, nes"
69992,"Molybdenum wrought, and articles of molybdenum, nes"
69993,"Tantalum wrought, and articles of tantalum, nes"
69994,"Magnesium wrought, and articles of magnesium, like rods, wire, etc"
69995,"Beryllium wrought, and articles of beryllium, nes"
69999,"Base metals and cermets, nes, wrought, and articles thereof"
7,Machinery and transport equipment
71,Power generating machinery and equipment
711,"Steam boilers and auxiliary plant; and parts thereof, nes"
7111,Steam and other vapour-generated boilers; super-heated water boiler
7112,Auxiliary plant for boilers of heading 7111; condensers
7119,"Parts, nes of boilers and auxiliary plant of headings 7111 and 7112"
71191,"Parts, nes of the boilers falling within heading 7111"
71199,"Parts, nes of the apparatus, appliances falling within heading 7112"
712,"Steam engines, turbines"
7126,"Steam power units (mobile engines but not steam tractors, etc)"
7129,"Parts, nes of steam power units"
713,"Internal combustion piston engines, and parts thereof, nes"
7131,"Internal combustion piston engines, for aircraft, and parts, nes"
71311,"Internal combustion piston engines, for aircraft"
71319,"Parts, nes of the aircraft engines falling within heading 71311"
7132,"Motor vehicles piston engines, headings: 722; 78; 74411 and 95101"
7133,"Internal combustion piston engines, marine propulsion"
71331,-- outboard
71332,-- other than outboard
7138,"Internal combustion piston engines, nes"
7139,"Piston engines parts, nes, falling in headings: 7132, 7133 and 7138"
714,"Engines and motors, non-electric; parts, nes; group 714, item 71888"
7144,Reaction engines
7148,"Gas turbines, nes"
71481,Turbo-propellers
71488,"Other gas turbines, nes"
7149,"Parts, nes of the engines and motors of group 714 and item 71888"
71491,"Parts, nes of reaction engines or turbo-propellers"
71499,"Parts, nes of the engines and motors of headings 71488 and 71888"
716,"Rotating electric plant and parts thereof, nes"
7161,"Motors and generators, direct current"
7162,"Electric motors, generators (not direct current); generating sets"
71621,"Electric motors (including ac/dc motors), other than direct current"
71622,"Generators, alternating current"
71623,Generating sets with internal combustion piston engines
7163,Rotary converters
7169,"Parts, nes, of rotating electric plant"
718,"Other power generating machinery and parts thereof, nes"
7187,"Nuclear reactors, and parts thereof, nes"
7188,"Engines and motors, nes (wind, hot air engines, water wheel, etc)"
71881,Water turbines
71882,Other hydraulic engines and motors (including waterwheels)
71888,"Other engines and motors, nes"
71889,"Regulators for and parts, nes, of headings 71881, 71882"
72,Machinery specialized for particular industries
721,"Agricultural machinery (excluding tractors) and parts thereof, nes"
7211,"Agricultural and horticultural machinery for soil preparation, etc"
72111,Ploughs
72112,"Seeders, planters, etc (other than hand tools)"
72113,"Scarifiers, cultivators, weeders, etc (other than hand tools)"
72118,"Other agricultural, horticultural machinery; lawn, ground rollers"
72119,"Parts, nes of the machinery falling within heading 7211"
7212,"Harvesting and threshing machines; fodder presses, etc; parts nes"
72121,Lawn mowers
72122,Combine harvester-thresher
72123,"Other harvesting, threshing machines; mowers, straw, fodder presses"
72124,"Agricultural cleaning, grading machines"
72129,"Parts, nes, of the machines falling within heading 7212"
7213,"Dairy machinery, nes (including milking machines), and parts nes"
72131,Milking machines
72138,"Other dairy machinery, nes"
72139,"Parts, nes of the machinery falling within heading 7213"
7219,"Agricultural machinery and appliances, nes, and parts thereof, nes"
72191,"Presses, crushers and other machinery for wine, cider-making, etc"
72197,"Other agricultural, horticultural, poultry-keeping, etc machinery"
72198,"Parts, nes of the machinery falling within heading 72191"
72199,"Parts, nes of the machinery and appliances of heading 72197"
722,Tractors (other than those falling in heading 74411 and 7832)
7223,Track-laying tractors
7224,"Wheeled tractors (other than those falling in heading 74411, 7832)"
723,"Civil engineering, contractors' plant and equipment and parts, nes"
7233,"Road rollers, mechanically propelled"
7234,"Construction and mining machinery, nes"
72341,"Bulldozers, angledozers and levellers, self-propelled"
72342,"Mechanical shovels and excavators, self-propelled"
72343,"Other excavating, tamping, boring, etc, machinery, self-propelled"
72344,"Boring and sinking machinery, not self-propelled"
72345,"Pile drivers; snow-ploughs, not self -propelled"
72346,"Other excavating, levelling, etc machinery, not self-propelled"
72348,"Machines and mechanical appliance for public works, nes"
7239,"Parts, nes of machinery and equipment of headings 72341 to 72346"
724,"Textile and leather machinery, and parts thereof, nes"
7243,"Sewing machines, furniture, needles etc, and parts thereof, nes"
72431,Sewing machines
72439,"Sewing machine needles; furniture specially for sewing; parts, nes"
7244,Machines for extruding man-made textile; other textile machinery
72441,Machine for extruding man-made textiles
72442,"Machines for processing natural or man-made textile fibres, nes"
72443,"Textile spinning, twisting, doubling, throwing and reeling machines"
72449,"Parts, nes, and accessories for use in machines of heading 7244"
7245,"Weaving, knitting, etc, machines, machines for preparing yarns, etc"
72451,Weaving machines (looms)
72452,Knitting machines
72453,"Gimping, warping, netting, etc machines"
72454,"Machinery for the manufacture or finishing of felt, and parts, nes"
7246,Auxiliary machinery for use with those of headings 72451 to 72453
72461,Auxiliary machinery for use with those of headings 72451 to 72453
72469,"Parts, nes, accessories for machines of headings 72451-53 and 72461"
7247,"Textile machinery, nes for cleaning, cutting, etc, and parts nes"
72471,"Clothes-washing machines, of a dry linen capacity of more than 6 kg"
72472,Dry-cleaning machines
72473,"Drying machines, industrial"
72474,"Other textile machines, nes"
72479,"Parts, nes of the machines falling within headings 7247 and 7751"
7248,"Machinery for preparing, tanning, working leather, etc; parts nes"
725,"Paper and paper manufacture machinery, and parts thereof, nes"
7251,"Machinery for making, finishing cellulose pulp, paper or paperboard"
72511,Machinery for making cellulosic pulp
72512,Machinery for making or finishing paper or paperboard
7252,"Machinery for making paper pulp, paper, paperboard; cutting machines"
7259,"Parts, nes of the machines falling within heading 725"
72591,"Parts, nes of the machines falling within heading 7251"
72599,"Parts, nes of the machines falling within heading 7252"
726,"Printing, bookbinding machinery, and parts thereof, nes"
7263,"Machinery, accessories for type-setting, for printing blocks, etc"
72631,Type founding or setting machinery; machinery for printing blocks
72632,"Printing type, impress flongs and matrices, printing plates, etc"
7264,Printing presses
72641,Rotary printing presses
72642,Platen printing presses
7267,Other printing machinery; machines for uses ancilliary to printing
72671,Printing machinery
72672,Machines for uses ancillary to printing
7268,"Bookbinding machinery; parts thereof, nes"
72681,Bookbinding machinery (including book sewing machines)
72689,"Parts, nes of bookbinding machinery"
7269,"Parts, nes of machines falling within headings 72631, 7264, 7267"
72691,"Parts, nes of the machines falling within headings 72631"
72699,"Parts, nes of the machines falling within headings 7264 and 7267"
727,"Food-processing machines (non-domestic) and parts thereof, nes"
7271,"Machinery for the grain milling industry; working cereals, parts"
72711,"Machinery for grain milling, working of cereals or dried leguminous"
72719,"Parts, nes of the machinery falling within heading 72711"
7272,"Other food-processing machinery and parts thereof, nes"
72721,"Machines, appliances for animal, vegetable fats and oils industry"
72722,"Machinery, nes for the food and drink industries"
72729,"Parts, nes for food-processing machinery falling in heading 72722"
728,"Other machinery, equipment, for specialized industries; parts nes"
7281,"Machine-tools for specialized industries; parts or accessories, nes"
72811,Mach-tools for working minerals or for working glass in the cold
72812,"Mach-tools for working wood, ebonite, or hard carving materials"
72819,"Parts, nes of and accessories for machine-tools of heading 7281"
7283,"Other mineral working machinery; and parts thereof, nes"
72831,"Machinery for sorting, screening, washing, etc, mineral substances"
72832,"Machinery for crushing, grinding, etc, mineral substances"
72833,"Machinery for mixing, kneading mineral substances"
72834,"Machinery for agglomerating, moulding, shaping, etc, minerals"
72839,"Parts, nes of the machinery falling within heading 7283"
7284,"Machinery for specialized industries and parts thereof, nes"
72841,"Glass-working machines; machines discharge lamps, etc, parts nes"
72842,"Machines for the rubber and plastics materials industries, nes"
72843,"Machines and mechanical appliances for the tobacco industry, nes"
72844,"Machines and mechanical appliances for treating wood, nes"
72845,"Machines and mechanical appliances for treating metals, nes"
72848,"Other machinery, mechanical appliances having individual functions"
72849,"Parts, nes of machines in headings 72348, 72721, and 72842-72848"
73,Metalworking machinery
736,"Metalworking machine-tools, parts and accessories thereof, nes"
7361,Metal cutting machine-tools
73611,Metalworking machine-tools; ultrasonic machine-tools
73612,Gear-cutting machines
73613,"Lathes, metalworking"
73614,"Reaming or milling machines, metalworking"
73615,"Drilling and boring machines, metalworking"
73616,"Sawing machines, metalworking"
73617,"Planing machines, metalworking"
73618,Tapping or screw-cuttings machines
73619,Other metal cutting or surfacing machine-tools
7362,Metal forming machine-tool
73621,"Forging machines and stamping machines, metalworking"
73622,"Bending, forming, folding or flattering machines, metalworking"
73623,"Shearing, punching or notching machines, metalworking"
73628,Other metalworking presses
7367,"Other machines-tools for working metal or metal carbides, nes"
7368,"Work holders, dividing heads for machine-tools, etc; tool holders"
7369,"Parts, nes of and accessories for machine-tools of heading 736"
737,"Metalworking machinery (other than machine-tools), and parts, nes"
7371,"Metallurgy and metal foundry equipment, and parts thereof, nes"
73711,"Converters, ladles, ingot mould and casting machines"
73719,"Parts, nes of machines and appliances falling within heading 73711"
7372,"Rolling mills, rolls therefor, and parts, nes of rolling mills"
73721,Rolling mills
73729,"Rolls for and parts, nes of rolling mills"
7373,"Welding, brazing, cutting, etc machines and appliances, parts, nes"
73731,"Gas operated welding, surface-tempering appliances, etc, parts, nes"
73732,"Electric or laser-operated welders, etc, machines, and parts, nes"
74,"General industrial machinery and equipment, nes, and parts of, nes"
741,"Heating and cooling equipment and parts thereof, nes"
7411,"Gas generators, and parts, nes of gas generators"
7412,"Furnace burners; mechanical stokers, etc, and parts thereof, nes"
7413,"Industrial and laboratory furnaces and ovens, etc, parts, nes"
74131,"Industrial electric furnaces, ovens, heating equipment, parts, nes"
74132,"Industrial, laboratory furnaces and ovens, non-electric, parts, nes"
7414,"Non-domestic refrigerators and refrigerating equipment, parts, nes"
74141,Non-domestic refrigerators and refrigerating equipment
74149,"Parts, nes of refrigerators and refrigerating equipment"
7415,"Air conditioning machines and parts thereof, nes"
7416,"Machinery, plant, laboratory equipment for heating and cooling, nes"
742,"Pumps for liquids; liquid elevators; and parts thereof, nes"
7421,Reciprocating pumps (other than those of heading 74281)
7422,Centrifugal pumps (other than those of heading 74281)
7423,Rotary pumps (other than those of heading 74281)
7428,Other pumps for liquids and liquid elevators
74281,Garage-type fuel or lubricant pumps
74288,"Pumps for liquids, nes and liquid elevators"
7429,"Parts, nes of pumps and liquids elevators falling in heading 742"
743,"Pumps, compressors; centrifuges; filtering apparatus; etc, parts"
7431,"Air pumps, vacuum pumps and air or gas compressors"
7432,"Parts, nes of the pumps and compressor falling within heading 7431"
7433,"Free-piston generators for gas turbines and parts thereof, nes"
7434,"Fans, blowers and the like, and parts thereof, nes"
7435,Centrifuges
7436,"Filtering and purifying machinery, apparatus for liquids and gases"
7439,"Parts, nes of the machines falling within headings 7435 and 7436"
744,"Mechanical handling equipment, and parts thereof, nes"
7441,"Work trucks, of the type use in factories, dock areas, etc"
74411,"Work trucks, of the type use in factories, dock areas, etc"
74419,"Parts, nes of the trucks and tractors falling within heading 74411"
7442,"Lifting, handling, loading machinery, telphers and conveyors"
74421,"Pulley tackle and hoists, winches and capstans"
74422,Ships' derricks; cranes (non-cable cranes); mobile lifting frames
74423,Pneumatic elevators and conveyors
74424,Lifts and skip hoists
74425,Escalator and moving pavements
74428,"Other lifting, handling, loading and unloading machinery, nes"
7449,"Parts, nes of the machinery falling within heading 7442"
745,"Other non-electric machinery, tools and mechanical apparatus, nes"
7451,"Power hand tools, pneumatic or non-electric, and parts thereof, nes"
74511,Power hand tools pneumatic or self-contained non-electric motor
74519,"Parts, nes of the tools falling within heading 74511"
7452,"Other non-electrical machines and parts thereof, nes"
74521,"Calendering and other rolling machines and cylinders thereof, parts"
74522,"Packaging, bottling, etc machinery"
74523,"Parts, nes of the machinery falling within headings 74522 and 7753"
74524,"Automatic vending machines; and parts thereof, nes"
74525,Weighing machinery
74526,"Weighing machine weights of all kinds; parts, nes"
